xfreq,yfreq,zfreq,condition,speed,fish
0.111111111,0.111111111,0.111111111,0,1,15
0.111111111,1.333333333,2.111111111,0,1,9
0.166666667,1.388888889,0.055555556,0,1,19
0.055555556,0.055555556,0.055555556,0,1,10
1.222222222,1.222222222,1.222222222,0,1,11
1.111111111,1.166666667,1.166666667,0,1,5
0.055555556,0.055555556,0.055555556,0,1,6
0.666666667,0.111111111,0.111111111,0,1,13
0.388888889,2.111111111,0.833333333,0,2,15
0.111111111,1.666666667,1.666666667,0,2,9
0.944444444,1.888888889,2,0,2,19
0.055555556,0.055555556,0.055555556,0,2,10
2.555555556,2.555555556,1.444444444,0,2,11
0.055555556,1.777777778,0.055555556,0,2,5
0.055555556,0.055555556,0.055555556,0,2,6
0.166666667,0.055555556,1.444444444,0,2,13
0.055555556,2.555555556,1.5,0,3,15
1.055555556,2.611111111,2.888888889,0,3,9
1.111111111,0.055555556,1.611111111,0,3,19
0.333333333,0.222222222,1.833333333,0,3,10
0.111111111,3.111111111,2.444444444,0,3,11
0.111111111,1.166666667,0.666666667,0,3,5
0.055555556,0.055555556,1.055555556,0,3,6
0.055555556,0.055555556,0.055555556,0,3,13
0.111111111,0.777777778,0.277777778,1,1,15
0.055555556,1.333333333,1.444444444,1,1,9
0.944444444,1.055555556,0.666666667,1,1,19
1.277777778,1.055555556,0.111111111,1,1,10
0.055555556,1.277777778,0.055555556,1,1,11
1.388888889,1.388888889,0.055555556,1,1,5
0.111111111,1.222222222,0.055555556,1,1,6
0.166666667,1.166666667,1.166666667,1,1,13
0.166666667,0.444444444,0.333333333,1,2,15
0.111111111,1.5,1.5,1,2,9
0.055555556,0.555555556,0.555555556,1,2,19
13.88888889,1.722222222,1.666666667,1,2,10
0.111111111,2.055555556,0.888888889,1,2,11
0.666666667,1.166666667,0.666666667,1,2,5
0.277777778,0.055555556,0.333333333,1,2,6
0.166666667,1.777777778,1.611111111,1,2,13
0.166666667,0.055555556,0.055555556,1,3,15
0.111111111,1.111111111,1.333333333,1,3,9
0.944444444,2.611111111,2.388888889,1,3,19
6.055555556,2.444444444,2.444444444,1,3,10
0.055555556,0.055555556,0.055555556,1,3,11
2.888888889,0.611111111,0.888888889,1,3,5
6.555555556,3.388888889,1.055555556,1,3,6
1.777777778,0.055555556,0.055555556,1,3,13
