Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
0,0.043864233,-0.028827872,4200,0,0.050380065,-0.036554074,4200
0.33367,0.04206908,-0.030301713,4210,0.33367,0.052038949,-0.037829989,4210
0.66734,0.036645903,-0.031749012,4220,0.66734,0.050208119,-0.038320425,4220
1.00101,0.036645903,-0.031749012,4230,1.00101,0.048555097,-0.039273941,4230
1.33468,0.032267687,-0.032638904,4240,1.33468,0.046923567,-0.040006664,4240
1.66835,0.030820388,-0.027215727,4250,1.66835,0.04081559,-0.034062817,4250
2.00202,0.030782669,-0.024241501,4260,2.00202,0.038730749,-0.030293691,4260
2.33569,0.030648557,-0.022247974,4270,2.33569,0.037534946,-0.028839969,4270
2.66936,0.030777081,-0.020940376,4280,2.66936,0.040227458,-0.0286563,4280
3.00303,0.037840343,-0.022954859,4290,3.00303,0.04259171,-0.029555106,4290
3.3367,0.037711819,-0.024262457,4300,3.3367,0.046237739,-0.03102446,4300
3.67037,0.037878062,-0.025929085,4310,3.67037,0.05061649,-0.034125343,4310
4.00404,0.038467599,-0.026647146,4320,4.00404,0.052005732,-0.03359192,4320
4.33771,0.038108568,-0.026941914,4330,4.33771,0.052517661,-0.035201957,4330
4.67138,0.037685276,-0.027890481,4340,4.67138,0.052339854,-0.034738876,4340
5.00505,0.036902952,-0.029133816,4350,5.00505,0.050509024,-0.035229312,4350
5.33872,0.035922254,-0.029037423,4360,5.33872,0.050466038,-0.035670899,4360
5.67239,0.0382804,-0.031909667,4370,5.67239,0.051990101,-0.036042145,4370
6.00606,0.040241797,-0.032102454,4380,6.00606,0.053820931,-0.03555171,4380
6.33973,0.041415282,-0.030237451,4390,6.33973,0.055274653,-0.034355906,4390
6.6734,0.041415282,-0.030237451,4400,6.6734,0.055372349,-0.037931593,4400
7.00707,0.040177534,-0.032756253,4410,7.00707,0.055028458,-0.041464294,4410
7.34074,0.038612888,-0.035242923,4420,7.34074,0.054749047,-0.044334613,4420
7.67441,0.038323707,-0.038185018,4430,7.67441,0.053887365,-0.044027847,4430
8.00808,0.038983094,-0.041550405,4440,8.00808,0.052476629,-0.044782063,4440
8.34175,0.03914375,-0.039915908,4450,8.34175,0.052341808,-0.043877394,4450
8.67542,0.02817865,-0.030586703,4460,8.67542,0.044289673,-0.037298521,4460
9.00909,0.028532093,-0.026990809,4470,9.00909,0.040610428,-0.031591099,4470
9.34276,0.021833449,-0.027982683,4480,9.34276,0.038230544,-0.033142517,4480
9.67643,0.020397327,-0.029161756,4490,9.67643,0.039389223,-0.037267258,4490
10.0101,0.016935546,-0.030801841,4500,10.0101,0.043197428,-0.041649917,4500
10.34377,0.019594048,-0.037334241,4510,10.34377,0.048136956,-0.04814868,4510
10.67744,0.022536143,-0.037623422,4520,10.67744,0.050032266,-0.046995863,4520
11.01111,0.024132921,-0.034809852,4530,11.01111,0.048717273,-0.042187247,4530
11.34478,0.028044537,-0.028593175,4540,11.34478,0.049147137,-0.037771371,4540
